         7076151 function calls (6986028 primitive calls) in 66.852 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      537    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      137    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
      205    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      128    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      192    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      189    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      248    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      132    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      124    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      132    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      372    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
