Sample,Success,Time
1000,True,3.9447734109999146
1001,True,3.6837498059994687
1002,False,2759.747382482001
1003,True,3.1929415430004155
1004,True,2.9627951709990157
1005,False,2735.8907737169993
1006,False,4448.194770331029
1007,True,105.26274299807847
1008,False,2202.4599199513905
1009,True,4.420248108915985
1010,True,7.83854142203927
1011,False,2249.083492522128
1012,False,6264.4665409489535
1013,True,3367.621809839271
1014,False,2273.0613307179883
1015,False,6496.209324682131
1016,True,588.3495123488829
1017,False,2368.7067924961448
1018,False,6758.446517424658
1019,True,3660.4799984600395
1020,False,2401.6309237559326
1021,False,7121.33939307183
1022,False,10862.908096099738
1023,False,2440.20474930387
1024,False,7465.200116805267
1025,True,4076.785590212792
1026,False,2580.494865441695
1027,False,7780.988883696031
1028,True,1403.901936502196
1029,False,2586.4499479359947
1030,False,8136.440213172231
1031,True,1179.367690328043
1032,False,2803.057666517794
1033,False,8311.354356031865
1034,True,4207.7946772868745
1035,False,2819.7526597478427
1036,False,8674.795632062014
1037,False,12055.661964091007
1038,False,2868.4483607509173
1039,False,9065.485651808325
1040,True,1357.4182761777192
1041,False,3070.394636271987
1042,False,9531.523505101912
1043,False,12526.91989864409
1044,False,2631.0869759758934
1045,False,8446.721723116934
1046,False,14130.791916592047
1047,False,3401.676402358804
1048,False,10259.95158401085
1049,False,13856.002260465175
1050,False,3289.191831190139
1051,False,11033.994114838075
1052,False,14086.062261006795
1053,False,3591.209034069907
1054,False,11477.940003653057
1055,False,14229.134609258734
1056,False,3066.5931800235994
1057,False,12356.414335561916
1058,False,14644.247807949781
1059,False,3983.744313999079
1060,False,11772.294762177859
1061,False,16750.81661124807
1062,False,3312.9933415399864
1063,False,13130.868449862115
1064,False,16440.942821139004
1065,False,4235.112992424052
1066,True,1991.0882577919401
1067,True,103.44195766700432
1068,False,2477.2800657087937
1069,True,3.9750577160157263
1070,True,17.21779910614714
1071,False,2525.9176107463427
1072,False,7787.969566545915
1073,True,4721.391019213945
1074,False,2860.114068774972
1075,True,411.24648962914944
1076,True,673.2001123391092
1077,False,2873.982081775088
1078,False,6517.559810250066
1079,True,4973.070998209994
1080,False,2496.030545169022
1081,True,2285.803383348044
1082,False,12311.328235178255
1083,False,2318.508128132671
1084,True,680.7683928539045
1085,True,4880.727696368005
1086,False,2484.3052072389983
1087,True,879.2144021890126
1088,True,1355.6082243919373
1089,False,2509.5151498857886
1090,False,7853.747649288271
1091,True,1141.129555737134
1092,False,2672.4432846358977
1093,False,8089.443034417927
1094,True,4126.03559266869
1095,False,2693.807156288065
1096,False,7272.692300715949
1097,True,101.57077307719737
1098,False,2298.27291027084
1099,True,5.471819228027016
1100,True,4.286563409026712
1101,False,2332.073750575073
1102,True,794.7357338340953
1103,True,4021.3577314647846
1104,False,2711.780390338041
1105,True,722.8351744143292
1106,True,709.0549127799459
1107,False,2796.4766907403246
1108,False,9446.138283348177
1109,True,3501.2190985460766
1110,False,2337.8290602122433
1111,True,1223.6755893360823
1112,False,12564.678160149604
1113,False,2143.6356734619476
1114,False,9409.982454288285
1115,True,3919.236000506673
1116,False,3977.800468658097
1117,False,7489.371881656814
1118,True,1334.067478385754
1119,False,2401.5403883536346
1120,False,7810.411601797212
1121,True,3175.5464018019848
1122,False,2413.3098153569736
1123,False,10356.401255828328
1124,True,4096.025580150075
1125,False,2406.0916143627837
