Dimension:   2    0.22 s for     141 iterations, SIC-POVM: True
Dimension:   3    6.24 s for    3000 iterations, SIC-POVM: False
Dimension:   4    0.38 s for     120 iterations, SIC-POVM: True
Dimension:   5    2.15 s for     488 iterations, SIC-POVM: True
Dimension:   6   35.52 s for    6000 iterations, SIC-POVM: False
Dimension:   7    6.27 s for     813 iterations, SIC-POVM: True
Dimension:   8   10.00 s for    1021 iterations, SIC-POVM: True
Dimension:   9  108.15 s for    9000 iterations, SIC-POVM: False
Dimension:  10   63.91 s for    4398 iterations, SIC-POVM: True
