INFO:random-gd-1054:trial     57 / 100_000  |  f_evals     147_501 / 50_000_000  |  f_min 3.720826e-11
INFO:random-gd-1054:trial     58 / 100_000  |  f_evals     149_175 / 50_000_000  |  f_min 3.720826e-11
INFO:random-gd-1054:trial     59 / 100_000  |  f_evals     150_633 / 50_000_000  |  f_min 3.720826e-11
INFO:random-gd-1054:trial     60 / 100_000  |  f_evals     151_578 / 50_000_000  |  f_min 3.720826e-11
INFO:random-gd-1054:trial     61 / 100_000  |  f_evals     152_604 / 50_000_000  |  f_min 3.720826e-11
INFO:random-gd-1054:trial     62 / 100_000  |  f_evals     167_670 / 50_000_000  |  f_min 3.720826e-11
INFO:random-gd-1054:trial     63 / 100_000  |  f_evals     169_047 / 50_000_000  |  f_min 3.720826e-11
INFO:random-gd-1054:trial     64 / 100_000  |  f_evals     170_424 / 50_000_000  |  f_min 8.319040e-12
INFO:random-gd-1054:Converged due to current_f_min close to 0.0.
INFO:random-gd-1054:Elapsed time: 4.005 seconds
