Dimension:   2    0.10 s for      63 iterations, SIC-POVM: True
Dimension:   3   21.64 s for   10000 iterations, SIC-POVM: False
Dimension:   4    0.53 s for     166 iterations, SIC-POVM: True
Dimension:   5    1.90 s for     425 iterations, SIC-POVM: True
Dimension:   6    3.58 s for     599 iterations, SIC-POVM: True
Dimension:   7    2.89 s for     371 iterations, SIC-POVM: True
Dimension:   8   11.12 s for    1139 iterations, SIC-POVM: True
Dimension:   9   12.59 s for    1046 iterations, SIC-POVM: True
Dimension:  10   36.19 s for    2480 iterations, SIC-POVM: True
