Sample,Time,f_evals_max,minimization_gtol,minimization_threshold,n_dims,n_trials,seed,target_name,use_constraints
1058,2023-12-06-14:19:04,50000000,1e-10,1e-11,18,100000,585997,SICPOVM,False
1059,2023-12-06-14:23:48,50000000,1e-14,1e-11,18,100000,585997,SICPOVM,False
1060,2023-12-06-14:38:09,50000000,1e-14,1e-11,18,100000,585997,SICPOVM,False
1061,2023-12-06-14:41:01,50000000,1e-14,1e-11,18,100000,585997,SICPOVM,False
1062,2023-12-06-15:36:34,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1063,2023-12-06-15:42:44,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1064,2023-12-06-15:46:05,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1065,2023-12-06-15:47:01,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1066,2023-12-06-15:47:31,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1067,2023-12-06-15:54:11,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1068,2023-12-06-19:33:07,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1069,2023-12-06-19:35:33,50000000,1e-11,1e-13,38,100000,585997,SICPOVM,False
1070,2023-12-13-16:20:14,50000000,1e-11,1e-13,4,100000,585997,SICPOVM,False
1071,2024-02-09-13:09:02,50000000,1e-11,1e-13,6,100000,585997,SICPOVM,False
1072,2024-02-09-13:12:22,50000000,1e-11,1e-13,6,100000,585997,SICPOVM,False
1073,2024-02-09-13:22:23,50000000,1e-11,1e-13,6,100000,585997,SICPOVM,False
1074,2024-02-09-14:02:02,50000000,1e-11,1e-13,6,100000,585997,SICPOVM,True
1075,2024-02-09-14:02:53,50000000,1e-11,1e-13,6,100000,585997,SICPOVM,True
1076,2024-02-12-15:33:35,50000000,1e-11,1e-13,6,100000,585997,SICPOVM,False
1077,2024-02-12-16:13:03,50000000,1e-11,1e-13,10,100000,585997,SICPOVM,False
1078,2024-02-12-17:36:47,50000000,1e-11,1e-13,10,100000,585997,SICPOVM,False
1079,2024-02-14-10:53:55,50000000,1e-11,1e-13,10,100000,585997,SICPOVM,False
