Sample,Success,Time
1000,True,38.76704240500021
1001,True,38.86409753600037
1002,True,28.06697851900026
1003,True,31.694800487000066
1004,True,239.0346467270001
1005,True,1.0627935639995485
1006,True,112.22988420399997
1007,True,77.30660568599978
1008,True,162.4322100720001
1009,True,684.9397591670004
1010,True,268.38203875199997
1011,True,411.7377928470005
1012,True,881.4371455620003
1013,True,630.8778170150017
1014,True,642.4457400449992
1015,True,740.363035411001
1016,False,7466.017216968001
1017,True,1530.9026912170011
1018,True,1.7377815879999616
1019,True,1.6811566199999106
1020,True,8.02504759375006
1021,True,4.212090677116066
1022,True,2109.699640473351
1023,False,11203.974281823263
1024,False,11985.620303076692
1025,True,3250.557754654903
1026,True,7412.937339220196
1027,False,13665.923617667984
1028,True,77.89225573600015
1029,True,40.97551493699939
